start,end,pollutant,distance,pollutant_saving_p,extra_distance_p,route
POINT (-6.256035 53.337824),POINT (-6.287409 53.343456),NO_ugm3,5781.236000000001,52.066660770194225,21.18071291329398,"[8752945095, 8752945096, 8752976439, 8752945094, 8752945092, 8752976441, 8752945090, 289889588, 32334993, 6019709808, 428957533, 1260885026, 32334985, 536794620, 32334980, 6698006173, 794377123, 8893234346, 32475148, 2876012762, 2876012725, 2876012626, 2876012550, 389688, 2876012507, 29400038, 2435830509, 3645616993, 389678, 130253647, 389677, 130158421, 130158419, 130158418, 130157166, 130157165, 130157149, 130157164, 130157163, 130157162, 130157161, 279464443, 130158424, 652232942, 130158422, 290684228, 652232944, 652232946, 32475580, 1426048716, 32475578, 3008717080, 1448444, 4011864951, 1397022510, 1426048755, 280588719, 280588720, 278313085, 2016283880, 358472578, 280588745, 1426048799, 1426048803, 1426048804, 361129124, 359097736, 318780617, 10737357110, 8346444625, 8670048312, 453178968, 361128740, 2373976073, 318780495, 10707951664, 359097427, 10707951648, 914786403, 344668040, 4791087849, 4802197068, 4802197067]"
POINT (-6.256035 53.337824),POINT (-6.287409 53.343456),CO2_mgm3,5643.649,34.06892169848482,19.259170795348894,"[8752945095, 8752945096, 8752976439, 8752945094, 8752945092, 8752976441, 8752945090, 289889588, 32334993, 6019709808, 428957533, 1260885026, 32334985, 536794620, 32334980, 6698006173, 794377123, 8893234346, 32475148, 2876012762, 2876012725, 2876012626, 2876012550, 389688, 2876012507, 3393157382, 2421685254, 4452043652, 130158808, 130158807, 130157166, 130157165, 130157149, 130157164, 130157163, 130157162, 130157161, 1397026917, 1426048717, 32475580, 1426048716, 32475578, 3008717080, 1448444, 4011864951, 1397022510, 1426048755, 280588719, 280588720, 344785493, 280588745, 1426048799, 1426048803, 1426048804, 361129124, 359097736, 318780617, 10737357110, 2433700513, 358540402, 361128740, 2373976073, 318780495, 10707951664, 359097427, 10707951648, 914786403, 344668040, 4791087849, 4802197068, 4802197067]"
POINT (-6.256035 53.337824),POINT (-6.287409 53.343456),CO_mgm3,5643.649,27.520153282530444,19.259170795348894,"[8752945095, 8752945096, 8752976439, 8752945094, 8752945092, 8752976441, 8752945090, 289889588, 32334993, 6019709808, 428957533, 1260885026, 32334985, 536794620, 32334980, 6698006173, 794377123, 8893234346, 32475148, 2876012762, 2876012725, 2876012626, 2876012550, 389688, 2876012507, 3393157382, 2421685254, 4452043652, 130158808, 130158807, 130157166, 130157165, 130157149, 130157164, 130157163, 130157162, 130157161, 1397026917, 1426048717, 32475580, 1426048716, 32475578, 3008717080, 1448444, 4011864951, 1397022510, 1426048755, 280588719, 280588720, 344785493, 280588745, 1426048799, 1426048803, 1426048804, 361129124, 359097736, 318780617, 10737357110, 2433700513, 358540402, 361128740, 2373976073, 318780495, 10707951664, 359097427, 10707951648, 914786403, 344668040, 4791087849, 4802197068, 4802197067]"
POINT (-6.256035 53.337824),POINT (-6.287409 53.343456),O3_ugm3,5572.215000000001,11.295352335590957,18.22409939314977,"[8752945095, 8752945096, 8752976439, 8752945094, 8752945092, 8752976441, 8752945090, 289889588, 32334993, 6019709808, 428957533, 1260885026, 32334985, 428959220, 32471791, 289889586, 32471790, 32335036, 32475150, 2876012720, 2876012725, 2876012626, 2876012550, 389688, 2876012507, 3393157382, 2421685254, 4452043652, 130158808, 130158807, 130157166, 130157165, 130157149, 32475584, 130158815, 1397026919, 1397026917, 1426048717, 32475580, 1426048716, 32475578, 3008717080, 1448444, 4011864951, 1397022510, 1426048755, 280588719, 280588720, 344785493, 280588745, 1426048799, 1426048803, 1426048804, 361129124, 359097736, 318780617, 10737357110, 2433700513, 68422447, 1426048809, 746555666, 318780495, 10707951664, 359097427, 10707951648, 914786403, 344668040, 4791087849, 4802197068, 4802197067]"
POINT (-6.256035 53.337824),POINT (-6.287409 53.343456),PM25_ugm3,5572.307000000001,27.81757512533987,18.225449531047023,"[8752945095, 8752945096, 8752976439, 8752945094, 8752945092, 8752976441, 8752945090, 289889588, 32334993, 6019709808, 428957533, 1260885026, 32334985, 428959220, 32471791, 289889586, 32471790, 32335036, 32475150, 2876012720, 2876012725, 2876012626, 2876012550, 389688, 2876012507, 3393157382, 2421685254, 4452043652, 130158808, 130158807, 130157166, 130157165, 130157149, 130157164, 130157163, 130157162, 130157161, 1397026917, 1426048717, 32475580, 1426048716, 32475578, 3008717080, 1448444, 4011864951, 1397022510, 1426048755, 280588719, 280588720, 344785493, 280588745, 1426048799, 1426048803, 1426048804, 361129124, 359097736, 318780617, 10737357110, 2433700513, 68422447, 1426048809, 746555666, 318780495, 10707951664, 359097427, 10707951648, 914786403, 344668040, 4791087849, 4802197068, 4802197067]"
POINT (-6.256035 53.337824),POINT (-6.287409 53.343456),NO2_ugm3,6127.1320000000005,50.57365389746547,25.630311212488976,"[8752945095, 8752945096, 8752976439, 8752945094, 8752945092, 8752976441, 8752945090, 289889588, 32334993, 6019709808, 428957533, 1260885026, 32334985, 536794620, 32334980, 6698006173, 794377123, 8893234346, 32475148, 2876012762, 2876012725, 2876012626, 2876012550, 389688, 2876012507, 3393157382, 2421685254, 130158809, 4494907228, 130158419, 130158418, 130157166, 130157165, 130157149, 130157164, 130157163, 130157162, 2371613132, 130158815, 1397026919, 1426048738, 1426048757, 1426048753, 140667559, 1958353678, 1958353675, 10684435570, 1426048748, 4238426, 2612431211, 665035432, 3477391132, 10609112909, 4463318866, 1426048781, 358572782, 367406256, 1426048760, 280588719, 280588720, 344785493, 280588745, 280588724, 358472581, 358540854, 280588721, 358541275, 280588734, 280588732, 68422425, 280588731, 359097894, 68422436, 318780617, 10737357110, 2433700513, 358540402, 361128740, 2373976073, 318780495, 10707951664, 359097427, 10707951648, 914786403, 344668040, 4791087849, 4802197068, 4802197067]"
POINT (-6.256035 53.337824),POINT (-6.287409 53.343456),None,4556.729,0.0,0.0,"[8752945095, 8752945096, 8752976437, 8752926299, 8752926297, 8752976434, 8752926305, 8752926307, 8659082071, 8752926315, 8752955417, 289889582, 8659462740, 8659462738, 8659082083, 8659082081, 289889581, 132490139, 132490146, 8658920605, 461626084, 8659051360, 8659020348, 8659020351, 2896327064, 243643594, 32335404, 32335403, 32335290, 2876012550, 389688, 9101069, 10261384454, 26189923, 10261384452, 10445521230, 130782425, 658464, 658465, 134974733, 658429, 8914657805, 8914657804, 3939516202, 21620852, 2383668110, 449382698, 2383668117, 389666, 2383668119, 544457885, 508057825, 544457882, 17648104, 881254784, 32176232, 458897155, 2374841813, 389304, 2374841884, 3517117114, 137905289, 1426048871, 1426048854, 1426100476, 746555633, 10263302267, 1426048842, 4415579841, 361129074, 4382812447, 2434933585, 4415579842, 444691106, 68422447, 1426048809, 746555666, 318780495, 10707951664, 359097427, 10707951648, 914786403, 344668040, 4791087849, 4802197068, 4802197067]"
