osm_id,NO2_ugm3,NO_ugm3,CO2_mgm3,CO_mgm3,O3_ugm3,PM25_ugm3
151364,21.254,8.493,813.102,0.435,42.266,7.485
151368,21.703,9.629,818.897,0.365,45.566,6.362
1481147,19.730249999999998,15.3978125,817.94425,0.367,39.05775,6.255125
2110697,14.592999999999998,6.484666666666667,802.3333333333334,0.3546666666666667,44.50066666666667,5.502
2110698,13.998000000000001,5.7615625,807.844,0.354,48.867999999999995,6.0925
2110728,11.8495,11.3929375,816.229,0.377,48.2525,7.2002500000000005
2110756,13.594166666666666,15.863770833333334,822.5635000000001,0.4026666666666667,42.64783333333333,5.898833333333333
2110757,16.809,10.1095,797.325,0.395,28.917,5.677
2294310,16.463,9.492,847.657,0.378,48.452,8.111
2294311,21.2105,8.6295,823.7025,0.368,39.433499999999995,8.091000000000001
2294382,27.683999999999997,21.319499999999998,815.347,0.388,44.955,7.875
2294383,16.003,10.791,824.599,0.375,45.143,6.894
2294384,22.294249999999998,14.193125,821.48225,0.376,37.21925,6.2285
2294449,17.235666666666667,15.371583333333334,815.8543333333333,0.39766666666666667,46.56733333333333,6.704000000000001
2294450,18.7565,9.984874999999999,812.325,0.3975,46.3685,5.651
2294451,25.947000000000003,19.109,828.4415,0.4405,46.713499999999996,7.5055
2683910,21.242,12.34,827.001,0.383,57.776,6.701
2684136,30.212,4.185,830.177,0.367,29.583,5.451
2684503,28.109,17.476,797.725,0.337,51.671,5.302
2684994,16.348,20.485,819.639,0.387,41.015,8.006
2684995,28.444,5.603,814.707,0.432,36.376,9.448
2685314,21.622,26.015,809.888,0.391,45.261,6.092
2685465,19.55,23.941,816.148,0.367,37.723,5.946
2685502,15.057,3.1310000000000002,791.8716666666666,0.3236666666666667,51.73266666666667,4.992666666666667
2685503,9.44075,4.013,801.6455,0.33,56.111000000000004,4.6645
2685504,4.914,5.6875,796.0835,0.3495,54.6845,4.471
2689742,15.739333333333333,12.527000000000001,842.416,0.4186666666666667,36.39666666666667,6.4396666666666675
2701833,36.5912,31.361400000000003,828.3068,0.47000000000000003,34.1376,7.2644
2709190,10.425,26.428,797.835,0.395,48.193,7.887
2728474,13.891,30.628,818.854,0.395,44.826,7.854
2745781,5.7236666666666665,1.744,799.0573333333333,0.36000000000000004,50.915666666666674,5.017666666666667
2746142,9.965,2.4343333333333335,804.5557142857142,0.36757142857142855,49.23728571428571,5.974571428571429
2746171,7.277142857142857,7.52952380952381,797.9317142857143,0.3632857142857143,51.42342857142857,5.935857142857143
2786200,12.8325,10.21,797.123,0.33899999999999997,48.591,5.631
2878983,30.791,17.229,808.468,0.417,45.012,4.973
2955538,18.051571428571428,17.699857142857145,800.8488571428571,0.329,39.78628571428572,2.2967142857142853
2955539,14.442,18.72225,800.5025,0.386,46.787499999999994,10.8605
2955540,8.5105,8.066749999999999,805.7855,0.368,56.9985,8.712
2988633,22.746,30.845,830.547,0.377,24.476,4.107
3191572,7.1448888888888895,27.03326923076923,795.245,0.34255555555555556,49.61033333333333,5.297888888888888
3191573,3.3486666666666665,20.172153846153847,798.1967777777777,0.3433333333333333,50.55533333333333,5.235111111111111
3191574,7.397,16.360423076923077,810.8679999999999,0.374,33.356,1.005
3191583,13.125714285714285,13.31103846153846,815.534,0.36528571428571427,41.78285714285715,5.756714285714286
3237518,18.96783333333333,28.334226190476187,790.0318333333333,0.2896666666666667,58.32933333333333,7.657166666666666
3238213,9.972916666666668,30.232107142857142,818.3188333333334,0.3408333333333333,68.68733333333334,4.9595
3238214,3.942875,18.998892857142856,793.414,0.3405,52.2675,5.659
3265261,7.795,13.382285714285716,819.365,0.333,29.916,3.788
3265262,10.702,11.135642857142855,837.212,0.376,40.405,6.999
3265270,7.796333333333333,8.489666666666666,797.803,0.33799999999999997,49.858000000000004,5.1175
3265271,14.716333333333333,6.093666666666667,794.4125,0.34675,48.563,5.72525
3265273,23.13,21.557833333333335,780.3996666666667,0.2588333333333333,75.71900000000001,3.645
3265491,10.7805,29.7766,779.316,0.264,67.97366666666666,1.875
3265492,8.476,26.7162,779.141,0.267,58.240333333333325,1.882
3265855,11.958499999999999,19.74180925925926,812.16475,0.3905,50.179249999999996,5.4295
3266484,1.2612727272727273,15.057259259259258,791.803090909091,0.33372727272727276,54.916727272727265,4.831636363636364
3266486,5.3020249999999995,11.34064814814815,790.4730999999999,0.3342,55.44500000000001,4.836
3266497,14.387937499999996,9.21687037037037,792.24,0.335,57.765,4.68
3266498,19.625687499999998,8.508944444444445,792.1045,0.3415,57.342,4.449
3284827,17.706,7.167999999999999,793.4843333333333,0.4413333333333333,68.64266666666667,10.96566666666667
3284829,7.124,5.143000000000001,800.838,0.3435,37.352500000000006,5.0545
3284831,11.867,3.928,781.896,0.318,48.341,3.907
3285419,13.392,3.1180000000000003,811.374,0.36,38.462,4.406
3285420,5.2835,1.903,796.8865000000001,0.352,53.9005,5.962
3285422,12.652599999999998,36.8565,790.458,0.32320000000000004,53.5764,5.4276
3285423,46.348,72.215,839.654,0.444,35.355,6.375
3383496,4.4085,10.709166666666665,812.4227500000001,0.393,55.7225,7.6370000000000005
