u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,geometry,access,width,tunnel,service,bridge,junction,est_width
32334885,3899118305,0,375758262,False,2,Fenian Street,secondary,30,True,10.999,R815,"LINESTRING (-6.2487398 53.3416095, -6.2488988 53.3416373)",,,,,,,
32334885,3972509636,0,9186547,False,,Denzille Lane,unclassified,30,False,20.317999999999998,,"LINESTRING (-6.2487398 53.3416095, -6.2487066 53.3415557, -6.248594 53.3414909, -6.2485492 53.3414733)",,,,,,,
32334885,1101723011,0,375758262,False,2,Fenian Street,secondary,30,False,93.581,R815,"LINESTRING (-6.2487398 53.3416095, -6.2486064 53.3415987, -6.247345 53.3414879)",,,,,,,
32334978,2876012762,0,10577138,False,2,Grand Canal Street Lower,secondary,50,False,7.978,R815,"LINESTRING (-6.239066 53.3386958, -6.2389558 53.3386672)",,,,,,,
32334978,31014742,0,153341562,False,2,Grand Canal Street Lower,secondary,50,True,40.583,R815,"LINESTRING (-6.239066 53.3386958, -6.2396186 53.3388518)",,,,,,,
32334978,662179,0,"[4926002, 260607183]",False,2,Clanwilliam Place,tertiary,30,False,152.61700000000002,,"LINESTRING (-6.239066 53.3386958, -6.2393862 53.3384599, -6.2404114 53.3377951, -6.2405227 53.3377229, -6.2405988 53.3376736)",,,,,,,
32334980,6698006173,0,4926000,False,2,Grand Canal Street Upper,secondary,50,True,63.917,R815,"LINESTRING (-6.236942 53.3380911, -6.2371452 53.3381508, -6.2378096 53.3383402)",,,,,,,
32334980,4609447037,0,"[80390832, 80390834, 10497823]",False,2,Barrow Street,tertiary,30,False,135.94299999999998,,"LINESTRING (-6.236942 53.3380911, -6.2368972 53.3381538, -6.2368778 53.3382424, -6.2367661 53.3387528, -6.2367244 53.3389433, -6.2367003 53.3390536, -6.2366648 53.3391896, -6.2366377 53.3392977)",,,,,,,
32334980,536794620,0,317312602,False,2,Grand Canal Street Upper,secondary,50,False,35.675,R815,"LINESTRING (-6.236942 53.3380911, -6.2367076 53.3380257, -6.2364603 53.3379491)",,,,,,,
32334985,1260885026,0,10577136,False,2,Shelbourne Road,secondary,50,False,14.714,R815,"LINESTRING (-6.2346778 53.3372105, -6.2345101 53.337124)",,,,,,,
32334985,428935626,0,"[4820651, 50502869, 50502875, 370154359]",False,2,South Lotts Road,tertiary,50,False,118.44399999999999,,"LINESTRING (-6.2346778 53.3372105, -6.23451 53.3372999, -6.2341384 53.3374571, -6.2340046 53.3375106, -6.2338993 53.3375444, -6.2337652 53.3376153, -6.2336326 53.3377045, -6.2335535 53.337793, -6.233456 53.3379473)",,,,,,,
32334985,428959220,0,4934446,False,2,Haddington Road,secondary,50,True,77.226,R111,"LINESTRING (-6.2346778 53.3372105, -6.2349014 53.3371203, -6.2356336 53.3368988, -6.2356983 53.3368793)",,,,,,,
32334985,536794620,0,317312602,False,2,Grand Canal Street Upper,secondary,50,True,145.042,R815,"LINESTRING (-6.2346778 53.3372105, -6.2347964 53.3372944, -6.2350297 53.3374214, -6.235259 53.3375286, -6.2356928 53.3376986, -6.236052 53.3378219, -6.2364603 53.3379491)",,,,,,,
32334993,289889588,0,26452026,False,2,Lansdowne Park,residential,30,False,122.079,,"LINESTRING (-6.2322065 53.3347303, -6.2337107 53.334099)",,,,,,,
32334993,289889578,0,129298405,False,2,Shelbourne Road,secondary,50,False,18.41,R815,"LINESTRING (-6.2322065 53.3347303, -6.2321477 53.3345685)",,,,,,,
32334993,6019709808,0,360342135,False,2,Shelbourne Road,secondary,50,True,80.568,R815,"LINESTRING (-6.2322065 53.3347303, -6.232419 53.3353512, -6.2324649 53.3354378)",,,,,,,
32335005,2876012626,0,7415911,False,2,,residential,30,True,7.424,,"LINESTRING (-6.2425773 53.3363935, -6.242495 53.3363483)",,,,,,,
32335005,91709193,0,7977648,False,2,Warrington Place,tertiary,30,True,109.08,,"LINESTRING (-6.2425773 53.3363935, -6.2414631 53.3371144)",,,,,,,
32335005,32335171,0,4926030,False,2,Mount Street Crescent,tertiary,30,True,54.067,,"LINESTRING (-6.2425773 53.3363935, -6.2432296 53.3366214, -6.2432801 53.3366391)",,,,,,,
32335005,32335006,0,7977647,False,2,Herbert Place,tertiary,30,False,303.558,,"LINESTRING (-6.2425773 53.3363935, -6.2454914 53.334464, -6.2456657 53.3343833)",,,,,,,
32335006,2876012550,0,14041596,False,3,Baggot Street Lower,secondary,30,False,5.728,R816,"LINESTRING (-6.2456657 53.3343833, -6.2456126 53.3343427)",,,,,,,
32335006,3814442115,0,4926044,True,1,Baggot Street Lower,secondary,30,False,81.815,R816,"LINESTRING (-6.2456657 53.3343833, -6.2458137 53.3344451, -6.2458678 53.3344972, -6.2464062 53.3349638)",,,,,,,
32335006,32335005,0,7977647,False,2,Herbert Place,tertiary,30,True,303.558,,"LINESTRING (-6.2456657 53.3343833, -6.2454914 53.334464, -6.2425773 53.3363935)",,,,,,,
32335006,2876012532,0,283771398,False,,Wilton Terrace,unclassified,30,True,134.03,,"LINESTRING (-6.2456657 53.3343833, -6.2458769 53.3343409, -6.2474824 53.3338606)",,,,,,,
32335036,8676059141,0,4934444,False,2,Haddington Road,secondary,50,True,45.736,R111,"LINESTRING (-6.238135 53.3361423, -6.2387508 53.335958)",,,,,,,
32335036,32471790,0,4934446,False,2,Haddington Road,secondary,50,False,67.602,R111,"LINESTRING (-6.238135 53.3361423, -6.2372267 53.336417)",,,,,,,
32335036,32475150,0,4926004,False,3,Northumberland Road,secondary,50,True,192.831,R118,"LINESTRING (-6.238135 53.3361423, -6.2387397 53.3365607, -6.2388036 53.3366036, -6.2391595 53.3368282, -6.2397219 53.3371896, -6.2398233 53.3372523, -6.2400932 53.3374225)",,,,,,,
32335036,3738797769,0,129068838,False,3,Northumberland Road,secondary,50,False,49.393,R118,"LINESTRING (-6.238135 53.3361423, -6.23804 53.3360389, -6.2378272 53.3357384)",,,,,,,
32335038,8658999222,0,370154352,False,3,Northumberland Road,secondary,50,False,5.131,R118,"LINESTRING (-6.2370802 53.3347221, -6.2370509 53.3346794)",,,,,,,
32335038,243643592,0,22716630,False,2,Saint Mary's Road,tertiary,30,False,85.81299999999999,,"LINESTRING (-6.2370802 53.3347221, -6.2372077 53.3346899, -6.2382705 53.3344215)",,,,,,,
32335038,8676062379,0,370154352,False,3,Northumberland Road,secondary,50,True,96.57300000000001,R118,"LINESTRING (-6.2370802 53.3347221, -6.2372404 53.3349308, -6.2374872 53.3352581, -6.2376697 53.335516)",,,,,,,
32335040,1261227677,0,110445434,False,3,Pembroke Road,secondary,50,True,14.022,R118,"LINESTRING (-6.2353223 53.3321897, -6.2354082 53.3323049)",,,,,,,
32335040,799719204,0,110445437,False,3,Pembroke Road,secondary,50,False,47.68,R118,"LINESTRING (-6.2353223 53.3321897, -6.2349646 53.3318179)",,,,,,,
32335040,1261227683,0,110445440,True,1,Pembroke Road,secondary,50,False,38.559,R816,"LINESTRING (-6.2353223 53.3321897, -6.2356306 53.3320923, -6.2358521 53.3320513)",,,,,,,
32335159,32335456,0,4926027,False,2,Mount Street Upper,tertiary,30,True,179.16,,"LINESTRING (-6.2442282 53.336969, -6.2465323 53.3378076)",,,,,,,
32335159,32335183,0,4926036,True,1,Mount Street Crescent,tertiary,30,False,76.083,,"LINESTRING (-6.2442282 53.336969, -6.2441812 53.3369961, -6.2441228 53.3370082, -6.2440686 53.3370126, -6.2439497 53.3370104, -6.2438309 53.3369968, -6.2437104 53.3369752, -6.2436011 53.3369359, -6.2434829 53.3368901, -6.2434002 53.3368485, -6.2433179 53.3367852, -6.2432797 53.3367382)",,,,,,,
32335171,32335005,0,4926030,False,2,Mount Street Crescent,tertiary,30,False,54.067,,"LINESTRING (-6.2432801 53.3366391, -6.2432296 53.3366214, -6.2425773 53.3363935)",,,,,,,
32335171,32335184,0,375772042,True,1,Mount Street Crescent,tertiary,30,False,17.067999999999998,,"LINESTRING (-6.2432801 53.3366391, -6.243332 53.3366026, -6.2433936 53.3365791, -6.2434969 53.3365731)",,,,,,,
32335183,32335171,0,4926036,True,1,Mount Street Crescent,tertiary,30,False,11.093,,"LINESTRING (-6.2432797 53.3367382, -6.2432735 53.3366972, -6.2432714 53.336668, -6.2432801 53.3366391)",,,,,,,
32335183,973843977,0,10575477,True,,Powerscourt,residential,30,False,49.388000000000005,,"LINESTRING (-6.2432797 53.3367382, -6.2430175 53.3369971, -6.2429855 53.3370287, -6.2428946 53.3371182)",,,,,,,
32335184,10445469339,0,10575465,True,,Herbert Lane,service,30,False,180.577,,"LINESTRING (-6.2434969 53.3365731, -6.2443297 53.3358733, -6.2452085 53.335316)",,,,alley,,,
32335184,32335188,0,375772042,True,1,Mount Street Crescent,tertiary,30,False,58.166999999999994,,"LINESTRING (-6.2434969 53.3365731, -6.2435807 53.3365741, -6.2436582 53.3365842, -6.2437794 53.336614, -6.2438965 53.3366536, -6.2440167 53.3367005, -6.2441162 53.3367554, -6.244236 53.3368259)",,,,,,,
32335188,91709069,0,10575463,False,,Herbert Street,residential,30,True,168.54399999999998,,"LINESTRING (-6.244236 53.3368259, -6.2442527 53.3368114, -6.244301 53.3367694, -6.245643 53.3355643)",,,,,,,
32335188,32335159,0,375772042,True,1,Mount Street Crescent,tertiary,30,False,16.6,,"LINESTRING (-6.244236 53.3368259, -6.244261 53.3368679, -6.2442631 53.3369104, -6.2442282 53.336969)",,,,,,,
32335267,133357761,0,4926100,False,2,James Street East,unclassified,30,False,11.198,,"LINESTRING (-6.2483123 53.3362742, -6.2482265 53.3363609)",,,,,,,
32335267,10560423055,0,83702287,True,1,Baggot Street Lower,secondary,30,False,3.893,R816,"LINESTRING (-6.2483123 53.3362742, -6.2483512 53.3363004)",,,,,,,
32335267,130268868,0,"[320312163, 320312164, 13872463]",False,,Lad Lane,service,30,True,62.112,,"LINESTRING (-6.2483123 53.3362742, -6.2483541 53.3362263, -6.2484007 53.3361851, -6.2484808 53.3360962, -6.2487646 53.3357855)",,,building_passage,alley,,,
32335269,133357772,0,10575463,False,,Herbert Street,residential,30,False,10.104,,"LINESTRING (-6.2465076 53.3350576, -6.2463828 53.3351096)",,,,,,,
32335269,3815927778,0,83702287,True,1,Baggot Street Lower,secondary,30,False,100.699,R816,"LINESTRING (-6.2465076 53.3350576, -6.246943 53.3353511, -6.2475132 53.3357355)",,,,,,,
32335290,7465142083,0,4934444,False,2,Haddington Road,secondary,50,False,51.83,R111,"LINESTRING (-6.245187 53.3340315, -6.2444892 53.3342404)",,,,,,,
32335290,2876012550,0,"[4934592, 4934593, 14041596]",False,3,Baggot Street Lower,secondary,30,True,44.694,R816,"LINESTRING (-6.245187 53.3340315, -6.2453584 53.3341483, -6.2455833 53.3343203, -6.2455915 53.3343266, -6.2456126 53.3343427)",,,,,yes,,
32335290,32335403,0,8111025,False,4,Baggot Street Upper,secondary,50,False,158.488,R816,"LINESTRING (-6.245187 53.3340315, -6.2450262 53.3339241, -6.2445181 53.3336526, -6.2444515 53.3336205, -6.244432 53.3336122, -6.2438635 53.3333779, -6.2433032 53.3331657)",,,,,,,
32335290,32335862,0,25466631,False,2,Mespil Road,secondary,50,True,88.88,R111,"LINESTRING (-6.245187 53.3340315, -6.2454865 53.3339516, -6.2463972 53.3336901)",,,,,,,
32335403,32335404,0,48520199,False,2,Baggot Street Upper,secondary,50,False,56.254,R816,"LINESTRING (-6.2433032 53.3331657, -6.2425718 53.3329104)",,,,,,,
32335403,32335290,0,8111025,False,4,Baggot Street Upper,secondary,50,True,158.488,R816,"LINESTRING (-6.2433032 53.3331657, -6.2438635 53.3333779, -6.244432 53.3336122, -6.2444515 53.3336205, -6.2445181 53.3336526, -6.2450262 53.3339241, -6.245187 53.3340315)",,,,,,,
32335403,257944587,0,"[145571187, 145571188, 27557731]",False,3,Waterloo Road,tertiary,30,True,114.062,,"LINESTRING (-6.2433032 53.3331657, -6.2433427 53.3330755, -6.2433709 53.3330109, -6.2435578 53.3325833, -6.2435894 53.332511, -6.2437041 53.3322627, -6.2437441 53.3321743)",,,,,,,
32335404,243643594,0,38864104,False,2,Eastmoreland Place,tertiary,30,True,65.379,,"LINESTRING (-6.2425718 53.3329104, -6.2421069 53.3334287)",,,,,,,
32335404,32335403,0,48520199,False,2,Baggot Street Upper,secondary,50,True,56.254,R816,"LINESTRING (-6.2425718 53.3329104, -6.2433032 53.3331657)",,,,,,,
32335404,4329853453,0,370154357,False,2,Pembroke Road,secondary,50,True,99.821,R816,"LINESTRING (-6.2425718 53.3329104, -6.2422714 53.3328213, -6.2420322 53.3327688, -6.2413325 53.3326796, -6.2411376 53.3326603)",,,,,,,
32335409,355146346,0,9084588,False,2,Raglan Road,residential,30,False,112.66499999999999,,"LINESTRING (-6.2376096 53.3322905, -6.237778 53.331756, -6.2379237 53.3312948)",,,,,,,
32335409,60790663,0,128521564,False,4,Pembroke Road,secondary,50,True,105.776,R816,"LINESTRING (-6.2376096 53.3322905, -6.2362038 53.3321283, -6.2360456 53.33211)",,,,,,,
32335409,1420144645,0,"[317312609, 370154355]",False,2,Pembroke Road,secondary,50,False,188.624,R816,"LINESTRING (-6.2376096 53.3322905, -6.2391981 53.3324551, -6.2404084 53.3325805)",,,,,,,
32335446,32335456,0,4926027,False,2,Mount Street Upper,tertiary,30,False,9.429,,"LINESTRING (-6.2466536 53.3378517, -6.2465323 53.3378076)",,,,,,,
32335446,10261384468,0,4926027,False,2,Mount Street Upper,tertiary,30,True,75.33500000000001,,"LINESTRING (-6.2466536 53.3378517, -6.2475801 53.3381889, -6.2476225 53.3382043)",,,,,,,
32335456,32335159,0,4926027,False,2,Mount Street Upper,tertiary,30,False,179.16,,"LINESTRING (-6.2465323 53.3378076, -6.2442282 53.336969)",,,,,,,
32335456,32335446,0,4926027,False,2,Mount Street Upper,tertiary,30,True,9.429,,"LINESTRING (-6.2465323 53.3378076, -6.2466536 53.3378517)",,,,,,,
32335456,91709223,0,"[72097208, 4926105, 256362567]",False,1,Stephen's Place,residential,30,False,36.763999999999996,,"LINESTRING (-6.2465323 53.3378076, -6.2464782 53.3378595, -6.2464706 53.3378668, -6.2463603 53.3379845, -6.2462582 53.3380948)",,,building_passage,,,,
32335492,130373251,0,128946815,False,3,Mount Street Lower,secondary,50,True,56.685,R118,"LINESTRING (-6.2444031 53.3389341, -6.2451496 53.3391815)",,,,,,,
32335492,456900205,0,4926110,False,2,Grattan Street,unclassified,30,False,63.609,,"LINESTRING (-6.2444031 53.3389341, -6.2443532 53.3389888, -6.2443238 53.3390208, -6.2439434 53.339436)",,,,,,,
32335492,642405021,0,128946815,False,3,Mount Street Lower,secondary,50,False,79.539,R118,"LINESTRING (-6.2444031 53.3389341, -6.2439348 53.338779, -6.2435308 53.3386451, -6.2433556 53.338587)",,,,,,,
32335628,1345315820,0,283771397,True,,Wilton Terrace,unclassified,30,False,52.96300000000001,,"LINESTRING (-6.2494635 53.3332696, -6.249703 53.3331893, -6.2499513 53.3331162, -6.2501701 53.3330489)",,,,,,,
32335628,1345315819,0,612719563,False,,Cumberland Road,unclassified,30,True,29.756,,"LINESTRING (-6.2494635 53.3332696, -6.2497141 53.3332506, -6.2499088 53.3332612)",,,,,,,
32335628,2876012532,0,"[874486763, 283771398]",False,,Wilton Terrace,unclassified,30,False,147.04999999999998,,"LINESTRING (-6.2494635 53.3332696, -6.2488145 53.3334626, -6.2482302 53.3336364, -6.2475834 53.3338288, -6.2474824 53.3338606)",,,,,,,
32335694,10261384463,0,4926120,False,,Cumberland Road,unclassified,30,False,7.578,,"LINESTRING (-6.2519222 53.3339869, -6.2518255 53.3339507)",,,,,,,
32335694,10261384450,0,13872469,False,,Kingram Place,service,30,True,6.251,,"LINESTRING (-6.2519222 53.3339869, -6.2520016 53.3340171)",,,,alley,,,
32335694,26189923,0,4847328,False,2,Fitzwilliam Place,tertiary,50,True,181.001,,"LINESTRING (-6.2519222 53.3339869, -6.2526276 53.3332678, -6.2532089 53.3326804, -6.2533119 53.3325867)",,,,,,,
32335694,27434874,0,612719558,False,2,Fitzwilliam Place,tertiary,50,False,77.27600000000001,,"LINESTRING (-6.2519222 53.3339869, -6.2513895 53.3345183, -6.2513245 53.3345832)",,,,,,,
32335779,4077343915,0,4926120,False,,Cumberland Road,unclassified,30,False,55.832,,"LINESTRING (-6.2508629 53.3335949, -6.2501374 53.3333411)",,,,,,,
32335779,130245806,0,4926134,False,,Lad Lane Upper,service,30,True,117.232,,"LINESTRING (-6.2508629 53.3335949, -6.2517504 53.3326835)",,,,alley,,,
32335779,10261384463,0,4926120,False,,Cumberland Road,unclassified,30,True,75.171,,"LINESTRING (-6.2508629 53.3335949, -6.2517805 53.3339345, -6.2518255 53.3339507)",,,,,,,
32335779,130268877,0,13872463,False,,Lad Lane,service,30,False,204.495,,"LINESTRING (-6.2508629 53.3335949, -6.2501521 53.3343345, -6.2493383 53.3351928)",,,,alley,,,
32335861,6089140916,0,23501248,False,2,Burlington Road,residential,30,True,48.593,,"LINESTRING (-6.2473001 53.3334125, -6.2469818 53.333019)",,,,,,,
32335861,32335862,0,25466631,False,2,Mespil Road,secondary,50,False,67.433,R111,"LINESTRING (-6.2473001 53.3334125, -6.2471884 53.3334468, -6.2463972 53.3336901)",,,,,,,
32335861,6089052495,0,25466631,False,2,Mespil Road,secondary,50,True,58.282,R111,"LINESTRING (-6.2473001 53.3334125, -6.247424 53.3333744, -6.2480873 53.3331807)",,,,,,,
32335862,32335290,0,25466631,False,2,Mespil Road,secondary,50,False,88.88,R111,"LINESTRING (-6.2463972 53.3336901, -6.2454865 53.3339516, -6.245187 53.3340315)",,,,,,,
32335862,32335861,0,25466631,False,2,Mespil Road,secondary,50,True,67.433,R111,"LINESTRING (-6.2463972 53.3336901, -6.2471884 53.3334468, -6.2473001 53.3334125)",,,,,,,
32335862,4715611026,0,25890782,False,,Fleming's Place,service,30,True,60.492000000000004,,"LINESTRING (-6.2463972 53.3336901, -6.2463564 53.3336418, -6.2463346 53.333618, -6.246315 53.3335966, -6.2457567 53.3333119)",,,,alley,,,
32335905,6167117803,0,4926189,False,2,Grand Parade,secondary,50,True,9.316,R111,"LINESTRING (-6.2577717 53.3308323, -6.2576399 53.330861)",,,,,,,
32335905,59702517,0,4926189,False,2,Grand Parade,secondary,50,False,76.94,R111,"LINESTRING (-6.2577717 53.3308323, -6.2581598 53.3307496, -6.2588622 53.3305985)",,,,,,,
32335905,6167117808,0,658599955,False,,,service,,True,18.33,,"LINESTRING (-6.2577717 53.3308323, -6.2577459 53.3307878, -6.2576815 53.3306765)",,,,,,,
32336039,32336040,0,39523885,False,2,Parnell Road,secondary,50,True,165.15,R111,"LINESTRING (-6.281645 53.3301884, -6.2821973 53.3302682, -6.2830718 53.3303812, -6.2840738 53.3305073)",,,,,,,
32336040,4903175753,0,7421646,False,2,Clogher Road,tertiary,50,False,34.624,,"LINESTRING (-6.2840738 53.3305073, -6.2841107 53.3304041, -6.2841828 53.3302028)",,,,,,,
32336040,278524351,0,"[316970038, 376465147, 13866421, 13866422]",False,2,"['Parnell Bridge', 'Donore Avenue']",tertiary,50,True,39.436,,"LINESTRING (-6.2840738 53.3305073, -6.284055 53.3305621, -6.2840168 53.330667, -6.2839535 53.3308332, -6.2839465 53.3308537)",,,,,yes,,
32336040,32336039,0,39523885,False,2,Parnell Road,secondary,50,False,165.15,R111,"LINESTRING (-6.2840738 53.3305073, -6.2830718 53.3303812, -6.2821973 53.3302682, -6.281645 53.3301884)",,,,,,,
32336040,2373976005,0,39523885,False,2,Parnell Road,secondary,50,True,104.77199999999999,R111,"LINESTRING (-6.2840738 53.3305073, -6.2842756 53.3305266, -6.2856095 53.3307219)",,,,,,,
32336041,2660269657,0,39523885,False,2,Parnell Road,secondary,50,False,112.936,R111,"LINESTRING (-6.2879776 53.3310726, -6.2863271 53.3308276)",,,,,,,
32336041,247945126,0,22999125,False,2,Aughavanagh Road,residential,30,False,76.533,,"LINESTRING (-6.2879776 53.3310726, -6.2880151 53.3309884, -6.2880796 53.3308434, -6.2881824 53.3306264, -6.2882852 53.3304093)",,,,,,,
32336041,5296215597,0,39523885,False,2,Parnell Road,secondary,50,True,137.83599999999998,R111,"LINESTRING (-6.2879776 53.3310726, -6.2891533 53.331235, -6.2897173 53.3313223, -6.2899965 53.3313602)",,,,,,,
32336044,4903175735,0,39523885,False,2,Parnell Road,secondary,50,False,17.372,R111,"LINESTRING (-6.2920851 53.3316962, -6.2918362 53.3316481)",,,,,,,
32336044,32336045,0,39523885,False,2,Parnell Road,secondary,50,True,48.924,R111,"LINESTRING (-6.2920851 53.3316962, -6.2927659 53.3318644)",,,,,,,
32336044,4309049108,0,431678305,False,,,service,,False,28.98,,"LINESTRING (-6.2920851 53.3316962, -6.2921241 53.3316342, -6.2922193 53.3314827, -6.2922385 53.3314522)",,,,,,,
32336045,32336044,0,39523885,False,2,Parnell Road,secondary,50,False,48.924,R111,"LINESTRING (-6.2927659 53.3318644, -6.2920851 53.3316962)",,,,,,,
32336045,247945129,0,24776573,False,2,Rutland Avenue,residential,30,False,53.18599999999999,,"LINESTRING (-6.2927659 53.3318644, -6.2928135 53.3318145, -6.2930167 53.3316016, -6.2931556 53.3314958, -6.2931972 53.3314627)",,,,,,,
32336045,2373587348,0,38669011,False,2,Parnell Road,secondary,50,False,44.81,R111,"LINESTRING (-6.2927659 53.3318644, -6.2929472 53.3319174, -6.2933714 53.3320423)",,,,,,,
32336047,4895260207,0,1138500247,False,4,Crumlin Road,secondary,50,True,3.715,R110,"LINESTRING (-6.2938585 53.3318548, -6.2939052 53.3318364)",,,,,,,
32336047,247945129,0,22999104,False,2,Rutland Avenue,residential,30,True,61.955,,"LINESTRING (-6.2938585 53.3318548, -6.2937804 53.331807, -6.2936309 53.331708, -6.2932683 53.3315114, -6.2931972 53.3314627)",,,,,,,
32336047,4238407,0,38669012,True,2,Crumlin Road,secondary,50,False,33.129,R110,"LINESTRING (-6.2938585 53.3318548, -6.2937712 53.3319266, -6.293629 53.3320157, -6.2935296 53.3320781)",,,,,,,
32336151,4895260208,0,4926220,False,2,Dolphin Road,secondary,50,True,62.536,R111,"LINESTRING (-6.2950543 53.3325354, -6.2942127 53.332283)",,,,,,,
32336151,1958356729,0,22999061,False,2,Herberton Drive,residential,30,True,34.81,,"LINESTRING (-6.2950543 53.3325354, -6.2952937 53.3322569)",,,,,,,
32336151,32336152,0,39523682,False,2,Dolphin Road,secondary,50,False,148.627,R111,"LINESTRING (-6.2950543 53.3325354, -6.2970409 53.3331512)",,,,,,,
32336152,32336151,0,39523682,False,2,Dolphin Road,secondary,50,True,148.627,R111,"LINESTRING (-6.2970409 53.3331512, -6.2950543 53.3325354)",,,,,,,
32336152,14957877,0,39523682,False,2,Dolphin Road,secondary,50,False,119.308,R111,"LINESTRING (-6.2970409 53.3331512, -6.2976486 53.3333926, -6.2982078 53.3336009, -6.2985745 53.3337075)",,,,,,,
32336152,2370348968,0,228356435,False,2,Dolphin Court,residential,30,True,53.251000000000005,,"LINESTRING (-6.2970409 53.3331512, -6.2973492 53.3327919, -6.2974635 53.3327604)",,,,,,,
32336190,2628742218,0,4934504,False,2,Dolphin Road,secondary,50,False,197.255,R111,"LINESTRING (-6.3003297 53.3343184, -6.3028244 53.3352816)",,,,,,,
32336190,14957877,0,4934504,False,2,Dolphin Road,secondary,50,True,135.013,R111,"LINESTRING (-6.3003297 53.3343184, -6.2996823 53.3340721, -6.2990416 53.3338463, -6.2985745 53.3337075)",,,,,,,
32336190,252319538,0,23307468,False,2,Dolphin Road,residential,30,False,82.9,,"LINESTRING (-6.3003297 53.3343184, -6.300418 53.3342417, -6.300538 53.3341566, -6.3008327 53.3340254, -6.3010562 53.3339542, -6.3013265 53.3338995)",,,,,,,
32336196,4426389561,0,4934504,False,2,Dolphin Road,secondary,50,False,16.537,R111,"LINESTRING (-6.3061506 53.3364918, -6.3063707 53.3365614)",,,,,,,
32336196,4452301327,0,4934504,False,2,Dolphin Road,secondary,50,True,14.224,R111,"LINESTRING (-6.3061506 53.3364918, -6.3059701 53.3364229)",,,,,,,
32336196,4452301329,0,22978757,True,1,Grand Canal View,residential,30,False,25.241999999999997,,"LINESTRING (-6.3061506 53.3364918, -6.3060256 53.3365585, -6.3059584 53.3365939, -6.3058774 53.3366491)",,,,,,,
32336201,4426415860,0,282195032,False,2,Suir Road,secondary,50,True,8.72,R111,"LINESTRING (-6.3078863 53.3379489, -6.3078167 53.3378824)",,,,,,,
32336201,321843341,0,282195032,False,2,Suir Road,secondary,50,False,22.881999999999998,R111,"LINESTRING (-6.3078863 53.3379489, -6.3079968 53.3380557, -6.3080558 53.3381278)",,,,,,,
32336201,4431227504,0,445751779,False,,,service,,True,13.461,,"LINESTRING (-6.3078863 53.3379489, -6.3079584 53.3379158, -6.3080469 53.337875)",,,,driveway,,,
32336203,577380445,0,45406018,False,2,Goldenbridge Avenue,residential,30,True,19.654,,"LINESTRING (-6.3081148 53.3383685, -6.3081872 53.33837, -6.3082133 53.3383688, -6.3082366 53.3383661, -6.308404 53.3383385)",,,,,,,
32336203,32336205,0,282195032,False,2,Suir Road,secondary,50,False,73.258,R111,"LINESTRING (-6.3081148 53.3383685, -6.3079599 53.3388023, -6.307891 53.3390136)",,,,,,,
32336203,321843341,0,282195032,False,2,Suir Road,secondary,50,True,27.540999999999997,R111,"LINESTRING (-6.3081148 53.3383685, -6.3081229 53.3383304, -6.3081269 53.3382904, -6.3081216 53.3382495, -6.3081095 53.3382151, -6.308092 53.3381839, -6.3080558 53.3381278)",,,,,,,
32336205,6240760461,0,282195032,False,2,Suir Road,secondary,50,False,20.685,R111,"LINESTRING (-6.307891 53.3390136, -6.3078298 53.339196)",,,,,,,
32336205,32336203,0,282195032,False,2,Suir Road,secondary,50,True,73.258,R111,"LINESTRING (-6.307891 53.3390136, -6.3079599 53.3388023, -6.3081148 53.3383685)",,,,,,,
32336205,6240760465,0,"[666559492, 666559493]",False,,,service,,True,11.661000000000001,,"LINESTRING (-6.307891 53.3390136, -6.3078265 53.3390053, -6.3077979 53.3390013, -6.3077195 53.338991)",,,,driveway,,,
32336206,10764454485,0,4934662,False,2,South Circular Road,secondary,50,False,94.1,R811,"LINESTRING (-6.3077299 53.3394194, -6.3063303 53.3392859)",,,,,,,
32336206,6240760461,0,282195032,False,2,Suir Road,secondary,50,True,25.711,R111,"LINESTRING (-6.3077299 53.3394194, -6.3078298 53.339196)",,,,,,,
32336206,2968714414,0,4934661,False,2,South Circular Road,secondary,50,False,45.113,R111,"LINESTRING (-6.3077299 53.3394194, -6.3076776 53.3396672, -6.3076488 53.3398222)",,,,,,,
32336206,2968714399,0,810833316,False,2,Bulfin Road,residential,50,True,56.182,,"LINESTRING (-6.3077299 53.3394194, -6.3078756 53.3394299, -6.3085738 53.3394551)",,,,,,,
32471781,91709232,0,4934444,False,2,Haddington Road,secondary,50,False,78.141,R111,"LINESTRING (-6.2402799 53.3355003, -6.2392278 53.3358152)",,,,,,,
32471781,1240273785,0,4934444,False,2,Haddington Road,secondary,50,True,122.935,R111,"LINESTRING (-6.2402799 53.3355003, -6.2419351 53.3350049)",,,,,,,
32471781,461626122,0,38864099,False,,Haddington Place,residential,30,False,82.021,,"LINESTRING (-6.2402799 53.3355003, -6.2397503 53.3348339)",,,,,,,
32471790,289889586,0,4934446,False,2,Haddington Road,secondary,50,False,7.875,R111,"LINESTRING (-6.2372267 53.336417, -6.2371209 53.336449)",,,,,,,
32471790,32335036,0,4934446,False,2,Haddington Road,secondary,50,True,67.602,R111,"LINESTRING (-6.2372267 53.336417, -6.238135 53.3361423)",,,,,,,
32471790,2876012651,0,10575471,False,2,Cranmer Lane,residential,30,False,27.962,,"LINESTRING (-6.2372267 53.336417, -6.2373438 53.3365546, -6.23742 53.3366404)",,,,,,,
