,start,end,pollutant,distance,pollutant_saving_p,extra_distance_p,route,GPS
0,POINT (-6.256035 53.337824),POINT (-6.287409 53.343456),NO_ugm3,5781.236000000001,52.06666077019423,21.18071291329398,"[8752945095, 8752945096, 8752976439, 8752945094, 8752945092, 8752976441, 8752945090, 289889588, 32334993, 6019709808, 428957533, 1260885026, 32334985, 536794620, 32334980, 6698006173, 794377123, 8893234346, 32475148, 2876012762, 2876012725, 2876012626, 2876012550, 389688, 2876012507, 29400038, 2435830509, 3645616993, 389678, 130253647, 389677, 130158421, 130158419, 130158418, 130157166, 130157165, 130157149, 130157164, 130157163, 130157162, 130157161, 279464443, 130158424, 652232942, 130158422, 290684228, 652232944, 652232946, 32475580, 1426048716, 32475578, 3008717080, 1448444, 4011864951, 1397022510, 1426048755, 280588719, 280588720, 278313085, 2016283880, 358472578, 280588745, 1426048799, 1426048803, 1426048804, 361129124, 359097736, 318780617, 10737357110, 8346444625, 8670048312, 453178968, 361128740, 2373976073, 318780495, 10707951664, 359097427, 10707951648, 914786403, 344668040, 4791087849, 4802197068, 4802197067]","[(53.3338363, -6.2340868), (53.3339031, -6.2341669), (53.3339206, -6.2341263), (53.3339332, -6.2340968), (53.3339611, -6.2340319), (53.333975, -6.2339995), (53.3339934, -6.2339567), (53.334099, -6.2337107), (53.3347303, -6.2322065), (53.3354378, -6.2324649), (53.3360363, -6.233072), (53.337124, -6.2345101), (53.3372105, -6.2346778), (53.3379491, -6.2364603), (53.3380911, -6.236942), (53.3383402, -6.2378096), (53.3384197, -6.2380885), (53.338424, -6.2381056), (53.3386408, -6.2388607), (53.3386672, -6.2389558), (53.3376403, -6.2405098), (53.3363483, -6.242495), (53.3343427, -6.2456126), (53.3322163, -6.2529015), (53.3305318, -6.2602759), (53.330578, -6.2603328), (53.3303383, -6.2620012), (53.3303075, -6.2627871), (53.3302312, -6.2642964), (53.3307346, -6.2644223), (53.3311096, -6.2645251), (53.3313558, -6.2646091), (53.3313321, -6.2651284), (53.331269, -6.2668064), (53.3312386, -6.2672326), (53.3312191, -6.2678052), (53.3312124, -6.2681235), (53.3312067, -6.2684031), (53.3311894, -6.2689465), (53.331188, -6.2690699), (53.3311665, -6.2700504), (53.3306375, -6.2700166), (53.3302718, -6.2699896), (53.3302534, -6.2705751), (53.3302253, -6.2716557), (53.3312545, -6.271766), (53.3315248, -6.271795), (53.3315831, -6.2718012), (53.3322706, -6.2718749), (53.3321769, -6.2725171), (53.3321888, -6.2735176), (53.3322063, -6.2740977), (53.3322379, -6.2752072), (53.3321086, -6.276247), (53.3319581, -6.2769454), (53.3341967, -6.2766843), (53.334404, -6.2766838), (53.3347871, -6.2779546), (53.334679, -6.2785648), (53.3347321, -6.2787374), (53.3355702, -6.2790941), (53.3360817, -6.2793653), (53.3365745, -6.2795913), (53.3368102, -6.2803548), (53.3370467, -6.2810639), (53.3365993, -6.2826798), (53.3364435, -6.2831979), (53.3360713, -6.2843248), (53.3360893, -6.2843505), (53.3353439, -6.2861442), (53.3357959, -6.2866347), (53.3358109, -6.2865977), (53.3360383, -6.2868584), (53.3361797, -6.2870868), (53.3366141, -6.2877885), (53.3365192, -6.2879694), (53.336051, -6.2888319), (53.3356751, -6.2892963), (53.3356687, -6.2893036), (53.3354692, -6.2894668), (53.3361199, -6.2910397), (53.3362154, -6.2908338), (53.3360744, -6.2906013)]"
1,POINT (-6.256035 53.337824),POINT (-6.287409 53.343456),CO2_mgm3,5643.649,34.06892169848482,19.259170795348894,"[8752945095, 8752945096, 8752976439, 8752945094, 8752945092, 8752976441, 8752945090, 289889588, 32334993, 6019709808, 428957533, 1260885026, 32334985, 536794620, 32334980, 6698006173, 794377123, 8893234346, 32475148, 2876012762, 2876012725, 2876012626, 2876012550, 389688, 2876012507, 3393157382, 2421685254, 4452043652, 130158808, 130158807, 130157166, 130157165, 130157149, 130157164, 130157163, 130157162, 130157161, 1397026917, 1426048717, 32475580, 1426048716, 32475578, 3008717080, 1448444, 4011864951, 1397022510, 1426048755, 280588719, 280588720, 344785493, 280588745, 1426048799, 1426048803, 1426048804, 361129124, 359097736, 318780617, 10737357110, 2433700513, 358540402, 361128740, 2373976073, 318780495, 10707951664, 359097427, 10707951648, 914786403, 344668040, 4791087849, 4802197068, 4802197067]","[(53.3338363, -6.2340868), (53.3339031, -6.2341669), (53.3339206, -6.2341263), (53.3339332, -6.2340968), (53.3339611, -6.2340319), (53.333975, -6.2339995), (53.3339934, -6.2339567), (53.334099, -6.2337107), (53.3347303, -6.2322065), (53.3354378, -6.2324649), (53.3360363, -6.233072), (53.337124, -6.2345101), (53.3372105, -6.2346778), (53.3379491, -6.2364603), (53.3380911, -6.236942), (53.3383402, -6.2378096), (53.3384197, -6.2380885), (53.338424, -6.2381056), (53.3386408, -6.2388607), (53.3386672, -6.2389558), (53.3376403, -6.2405098), (53.3363483, -6.242495), (53.3343427, -6.2456126), (53.3322163, -6.2529015), (53.3305318, -6.2602759), (53.3301878, -6.2642883), (53.33059, -6.2650932), (53.3305536, -6.2661294), (53.3305348, -6.2667882), (53.3305107, -6.2671619), (53.3312386, -6.2672326), (53.3312191, -6.2678052), (53.3312124, -6.2681235), (53.3312067, -6.2684031), (53.3311894, -6.2689465), (53.331188, -6.2690699), (53.3311665, -6.2700504), (53.3323797, -6.2701656), (53.3323192, -6.2713642), (53.3322706, -6.2718749), (53.3321769, -6.2725171), (53.3321888, -6.2735176), (53.3322063, -6.2740977), (53.3322379, -6.2752072), (53.3321086, -6.276247), (53.3319581, -6.2769454), (53.3341967, -6.2766843), (53.334404, -6.2766838), (53.3347871, -6.2779546), (53.3361092, -6.2786164), (53.3360817, -6.2793653), (53.3365745, -6.2795913), (53.3368102, -6.2803548), (53.3370467, -6.2810639), (53.3365993, -6.2826798), (53.3364435, -6.2831979), (53.3360713, -6.2843248), (53.3360893, -6.2843505), (53.3369542, -6.2857367), (53.3365025, -6.2857133), (53.3360383, -6.2868584), (53.3361797, -6.2870868), (53.3366141, -6.2877885), (53.3365192, -6.2879694), (53.336051, -6.2888319), (53.3356751, -6.2892963), (53.3356687, -6.2893036), (53.3354692, -6.2894668), (53.3361199, -6.2910397), (53.3362154, -6.2908338), (53.3360744, -6.2906013)]"
2,POINT (-6.256035 53.337824),POINT (-6.287409 53.343456),CO_mgm3,5643.649,27.520153282530444,19.259170795348894,"[8752945095, 8752945096, 8752976439, 8752945094, 8752945092, 8752976441, 8752945090, 289889588, 32334993, 6019709808, 428957533, 1260885026, 32334985, 536794620, 32334980, 6698006173, 794377123, 8893234346, 32475148, 2876012762, 2876012725, 2876012626, 2876012550, 389688, 2876012507, 3393157382, 2421685254, 4452043652, 130158808, 130158807, 130157166, 130157165, 130157149, 130157164, 130157163, 130157162, 130157161, 1397026917, 1426048717, 32475580, 1426048716, 32475578, 3008717080, 1448444, 4011864951, 1397022510, 1426048755, 280588719, 280588720, 344785493, 280588745, 1426048799, 1426048803, 1426048804, 361129124, 359097736, 318780617, 10737357110, 2433700513, 358540402, 361128740, 2373976073, 318780495, 10707951664, 359097427, 10707951648, 914786403, 344668040, 4791087849, 4802197068, 4802197067]","[(53.3338363, -6.2340868), (53.3339031, -6.2341669), (53.3339206, -6.2341263), (53.3339332, -6.2340968), (53.3339611, -6.2340319), (53.333975, -6.2339995), (53.3339934, -6.2339567), (53.334099, -6.2337107), (53.3347303, -6.2322065), (53.3354378, -6.2324649), (53.3360363, -6.233072), (53.337124, -6.2345101), (53.3372105, -6.2346778), (53.3379491, -6.2364603), (53.3380911, -6.236942), (53.3383402, -6.2378096), (53.3384197, -6.2380885), (53.338424, -6.2381056), (53.3386408, -6.2388607), (53.3386672, -6.2389558), (53.3376403, -6.2405098), (53.3363483, -6.242495), (53.3343427, -6.2456126), (53.3322163, -6.2529015), (53.3305318, -6.2602759), (53.3301878, -6.2642883), (53.33059, -6.2650932), (53.3305536, -6.2661294), (53.3305348, -6.2667882), (53.3305107, -6.2671619), (53.3312386, -6.2672326), (53.3312191, -6.2678052), (53.3312124, -6.2681235), (53.3312067, -6.2684031), (53.3311894, -6.2689465), (53.331188, -6.2690699), (53.3311665, -6.2700504), (53.3323797, -6.2701656), (53.3323192, -6.2713642), (53.3322706, -6.2718749), (53.3321769, -6.2725171), (53.3321888, -6.2735176), (53.3322063, -6.2740977), (53.3322379, -6.2752072), (53.3321086, -6.276247), (53.3319581, -6.2769454), (53.3341967, -6.2766843), (53.334404, -6.2766838), (53.3347871, -6.2779546), (53.3361092, -6.2786164), (53.3360817, -6.2793653), (53.3365745, -6.2795913), (53.3368102, -6.2803548), (53.3370467, -6.2810639), (53.3365993, -6.2826798), (53.3364435, -6.2831979), (53.3360713, -6.2843248), (53.3360893, -6.2843505), (53.3369542, -6.2857367), (53.3365025, -6.2857133), (53.3360383, -6.2868584), (53.3361797, -6.2870868), (53.3366141, -6.2877885), (53.3365192, -6.2879694), (53.336051, -6.2888319), (53.3356751, -6.2892963), (53.3356687, -6.2893036), (53.3354692, -6.2894668), (53.3361199, -6.2910397), (53.3362154, -6.2908338), (53.3360744, -6.2906013)]"
3,POINT (-6.256035 53.337824),POINT (-6.287409 53.343456),O3_ugm3,5572.215000000001,11.295352335590955,18.22409939314977,"[8752945095, 8752945096, 8752976439, 8752945094, 8752945092, 8752976441, 8752945090, 289889588, 32334993, 6019709808, 428957533, 1260885026, 32334985, 428959220, 32471791, 289889586, 32471790, 32335036, 32475150, 2876012720, 2876012725, 2876012626, 2876012550, 389688, 2876012507, 3393157382, 2421685254, 4452043652, 130158808, 130158807, 130157166, 130157165, 130157149, 32475584, 130158815, 1397026919, 1397026917, 1426048717, 32475580, 1426048716, 32475578, 3008717080, 1448444, 4011864951, 1397022510, 1426048755, 280588719, 280588720, 344785493, 280588745, 1426048799, 1426048803, 1426048804, 361129124, 359097736, 318780617, 10737357110, 2433700513, 68422447, 1426048809, 746555666, 318780495, 10707951664, 359097427, 10707951648, 914786403, 344668040, 4791087849, 4802197068, 4802197067]","[(53.3338363, -6.2340868), (53.3339031, -6.2341669), (53.3339206, -6.2341263), (53.3339332, -6.2340968), (53.3339611, -6.2340319), (53.333975, -6.2339995), (53.3339934, -6.2339567), (53.334099, -6.2337107), (53.3347303, -6.2322065), (53.3354378, -6.2324649), (53.3360363, -6.233072), (53.337124, -6.2345101), (53.3372105, -6.2346778), (53.3368793, -6.2356983), (53.336795, -6.2359768), (53.336449, -6.2371209), (53.336417, -6.2372267), (53.3361423, -6.238135), (53.3374225, -6.2400932), (53.3374723, -6.240171), (53.3376403, -6.2405098), (53.3363483, -6.242495), (53.3343427, -6.2456126), (53.3322163, -6.2529015), (53.3305318, -6.2602759), (53.3301878, -6.2642883), (53.33059, -6.2650932), (53.3305536, -6.2661294), (53.3305348, -6.2667882), (53.3305107, -6.2671619), (53.3312386, -6.2672326), (53.3312191, -6.2678052), (53.3312124, -6.2681235), (53.332465, -6.2683155), (53.3324302, -6.2691412), (53.3324192, -6.2693166), (53.3323797, -6.2701656), (53.3323192, -6.2713642), (53.3322706, -6.2718749), (53.3321769, -6.2725171), (53.3321888, -6.2735176), (53.3322063, -6.2740977), (53.3322379, -6.2752072), (53.3321086, -6.276247), (53.3319581, -6.2769454), (53.3341967, -6.2766843), (53.334404, -6.2766838), (53.3347871, -6.2779546), (53.3361092, -6.2786164), (53.3360817, -6.2793653), (53.3365745, -6.2795913), (53.3368102, -6.2803548), (53.3370467, -6.2810639), (53.3365993, -6.2826798), (53.3364435, -6.2831979), (53.3360713, -6.2843248), (53.3360893, -6.2843505), (53.3369542, -6.2857367), (53.3372715, -6.2862494), (53.3371836, -6.2864627), (53.3368534, -6.2872518), (53.3366141, -6.2877885), (53.3365192, -6.2879694), (53.336051, -6.2888319), (53.3356751, -6.2892963), (53.3356687, -6.2893036), (53.3354692, -6.2894668), (53.3361199, -6.2910397), (53.3362154, -6.2908338), (53.3360744, -6.2906013)]"
4,POINT (-6.256035 53.337824),POINT (-6.287409 53.343456),PM25_ugm3,5572.307000000001,27.81757512533987,18.225449531047023,"[8752945095, 8752945096, 8752976439, 8752945094, 8752945092, 8752976441, 8752945090, 289889588, 32334993, 6019709808, 428957533, 1260885026, 32334985, 428959220, 32471791, 289889586, 32471790, 32335036, 32475150, 2876012720, 2876012725, 2876012626, 2876012550, 389688, 2876012507, 3393157382, 2421685254, 4452043652, 130158808, 130158807, 130157166, 130157165, 130157149, 130157164, 130157163, 130157162, 130157161, 1397026917, 1426048717, 32475580, 1426048716, 32475578, 3008717080, 1448444, 4011864951, 1397022510, 1426048755, 280588719, 280588720, 344785493, 280588745, 1426048799, 1426048803, 1426048804, 361129124, 359097736, 318780617, 10737357110, 2433700513, 68422447, 1426048809, 746555666, 318780495, 10707951664, 359097427, 10707951648, 914786403, 344668040, 4791087849, 4802197068, 4802197067]","[(53.3338363, -6.2340868), (53.3339031, -6.2341669), (53.3339206, -6.2341263), (53.3339332, -6.2340968), (53.3339611, -6.2340319), (53.333975, -6.2339995), (53.3339934, -6.2339567), (53.334099, -6.2337107), (53.3347303, -6.2322065), (53.3354378, -6.2324649), (53.3360363, -6.233072), (53.337124, -6.2345101), (53.3372105, -6.2346778), (53.3368793, -6.2356983), (53.336795, -6.2359768), (53.336449, -6.2371209), (53.336417, -6.2372267), (53.3361423, -6.238135), (53.3374225, -6.2400932), (53.3374723, -6.240171), (53.3376403, -6.2405098), (53.3363483, -6.242495), (53.3343427, -6.2456126), (53.3322163, -6.2529015), (53.3305318, -6.2602759), (53.3301878, -6.2642883), (53.33059, -6.2650932), (53.3305536, -6.2661294), (53.3305348, -6.2667882), (53.3305107, -6.2671619), (53.3312386, -6.2672326), (53.3312191, -6.2678052), (53.3312124, -6.2681235), (53.3312067, -6.2684031), (53.3311894, -6.2689465), (53.331188, -6.2690699), (53.3311665, -6.2700504), (53.3323797, -6.2701656), (53.3323192, -6.2713642), (53.3322706, -6.2718749), (53.3321769, -6.2725171), (53.3321888, -6.2735176), (53.3322063, -6.2740977), (53.3322379, -6.2752072), (53.3321086, -6.276247), (53.3319581, -6.2769454), (53.3341967, -6.2766843), (53.334404, -6.2766838), (53.3347871, -6.2779546), (53.3361092, -6.2786164), (53.3360817, -6.2793653), (53.3365745, -6.2795913), (53.3368102, -6.2803548), (53.3370467, -6.2810639), (53.3365993, -6.2826798), (53.3364435, -6.2831979), (53.3360713, -6.2843248), (53.3360893, -6.2843505), (53.3369542, -6.2857367), (53.3372715, -6.2862494), (53.3371836, -6.2864627), (53.3368534, -6.2872518), (53.3366141, -6.2877885), (53.3365192, -6.2879694), (53.336051, -6.2888319), (53.3356751, -6.2892963), (53.3356687, -6.2893036), (53.3354692, -6.2894668), (53.3361199, -6.2910397), (53.3362154, -6.2908338), (53.3360744, -6.2906013)]"
5,POINT (-6.256035 53.337824),POINT (-6.287409 53.343456),NO2_ugm3,6127.1320000000005,50.57365389746547,25.630311212488976,"[8752945095, 8752945096, 8752976439, 8752945094, 8752945092, 8752976441, 8752945090, 289889588, 32334993, 6019709808, 428957533, 1260885026, 32334985, 536794620, 32334980, 6698006173, 794377123, 8893234346, 32475148, 2876012762, 2876012725, 2876012626, 2876012550, 389688, 2876012507, 3393157382, 2421685254, 130158809, 4494907228, 130158419, 130158418, 130157166, 130157165, 130157149, 130157164, 130157163, 130157162, 2371613132, 130158815, 1397026919, 1426048738, 1426048757, 1426048753, 140667559, 1958353678, 1958353675, 10684435570, 1426048748, 4238426, 2612431211, 665035432, 3477391132, 10609112909, 4463318866, 1426048781, 358572782, 367406256, 1426048760, 280588719, 280588720, 344785493, 280588745, 280588724, 358472581, 358540854, 280588721, 358541275, 280588734, 280588732, 68422425, 280588731, 359097894, 68422436, 318780617, 10737357110, 2433700513, 358540402, 361128740, 2373976073, 318780495, 10707951664, 359097427, 10707951648, 914786403, 344668040, 4791087849, 4802197068, 4802197067]","[(53.3338363, -6.2340868), (53.3339031, -6.2341669), (53.3339206, -6.2341263), (53.3339332, -6.2340968), (53.3339611, -6.2340319), (53.333975, -6.2339995), (53.3339934, -6.2339567), (53.334099, -6.2337107), (53.3347303, -6.2322065), (53.3354378, -6.2324649), (53.3360363, -6.233072), (53.337124, -6.2345101), (53.3372105, -6.2346778), (53.3379491, -6.2364603), (53.3380911, -6.236942), (53.3383402, -6.2378096), (53.3384197, -6.2380885), (53.338424, -6.2381056), (53.3386408, -6.2388607), (53.3386672, -6.2389558), (53.3376403, -6.2405098), (53.3363483, -6.242495), (53.3343427, -6.2456126), (53.3322163, -6.2529015), (53.3305318, -6.2602759), (53.3301878, -6.2642883), (53.33059, -6.2650932), (53.330592, -6.2650308), (53.3310035, -6.2650851), (53.3313321, -6.2651284), (53.331269, -6.2668064), (53.3312386, -6.2672326), (53.3312191, -6.2678052), (53.3312124, -6.2681235), (53.3312067, -6.2684031), (53.3311894, -6.2689465), (53.331188, -6.2690699), (53.3319752, -6.2691174), (53.3324302, -6.2691412), (53.3324192, -6.2693166), (53.3337077, -6.2695129), (53.3342258, -6.2696105), (53.3341464, -6.2709618), (53.3340382, -6.2727729), (53.3339914, -6.2734328), (53.3339633, -6.2738168), (53.3340225, -6.2743434), (53.3341113, -6.27482), (53.3341762, -6.2747841), (53.334581, -6.2745101), (53.3351561, -6.2739395), (53.3353015, -6.2743333), (53.3354251, -6.2747272), (53.3355285, -6.2750531), (53.3355238, -6.2751417), (53.3349415, -6.2755885), (53.3348464, -6.2757038), (53.3342546, -6.2762655), (53.334404, -6.2766838), (53.3347871, -6.2779546), (53.3361092, -6.2786164), (53.3360817, -6.2793653), (53.3358929, -6.2805049), (53.3353537, -6.2802277), (53.3349949, -6.2800438), (53.3345688, -6.2798426), (53.3344124, -6.2810587), (53.3343183, -6.2815824), (53.3341361, -6.2824474), (53.3340257, -6.2829997), (53.3352283, -6.2835819), (53.3356063, -6.2837844), (53.3357298, -6.28389), (53.3360713, -6.2843248), (53.3360893, -6.2843505), (53.3369542, -6.2857367), (53.3365025, -6.2857133), (53.3360383, -6.2868584), (53.3361797, -6.2870868), (53.3366141, -6.2877885), (53.3365192, -6.2879694), (53.336051, -6.2888319), (53.3356751, -6.2892963), (53.3356687, -6.2893036), (53.3354692, -6.2894668), (53.3361199, -6.2910397), (53.3362154, -6.2908338), (53.3360744, -6.2906013)]"
6,POINT (-6.256035 53.337824),POINT (-6.287409 53.343456),None,4556.729,0.0,0.0,"[8752945095, 8752945096, 8752976437, 8752926299, 8752926297, 8752976434, 8752926305, 8752926307, 8659082071, 8752926315, 8752955417, 289889582, 8659462740, 8659462738, 8659082083, 8659082081, 289889581, 132490139, 132490146, 8658920605, 461626084, 8659051360, 8659020348, 8659020351, 2896327064, 243643594, 32335404, 32335403, 32335290, 2876012550, 389688, 9101069, 10261384454, 26189923, 10261384452, 10445521230, 130782425, 658464, 658465, 134974733, 658429, 8914657805, 8914657804, 3939516202, 21620852, 2383668110, 449382698, 2383668117, 389666, 2383668119, 544457885, 508057825, 544457882, 17648104, 881254784, 32176232, 458897155, 2374841813, 389304, 2374841884, 3517117114, 137905289, 1426048871, 1426048854, 1426100476, 746555633, 10263302267, 1426048842, 4415579841, 361129074, 4382812447, 2434933585, 4415579842, 444691106, 68422447, 1426048809, 746555666, 318780495, 10707951664, 359097427, 10707951648, 914786403, 344668040, 4791087849, 4802197068, 4802197067]","[(53.3338363, -6.2340868), (53.3339031, -6.2341669), (53.3338916, -6.2341937), (53.3338299, -6.2343374), (53.3337952, -6.2344182), (53.3337817, -6.2344497), (53.3337735, -6.2344689), (53.3337126, -6.2346107), (53.3336872, -6.2346699), (53.3336753, -6.2346976), (53.3336462, -6.2347654), (53.3336297, -6.2348039), (53.3335946, -6.2348804), (53.3335552, -6.2349663), (53.3335098, -6.2350653), (53.3334677, -6.2351572), (53.3331232, -6.2359843), (53.3328899, -6.235815), (53.333013, -6.237312), (53.3330521, -6.2377099), (53.3332497, -6.2400457), (53.3332684, -6.2402559), (53.3333494, -6.2411373), (53.3333684, -6.2413292), (53.3335569, -6.2419924), (53.3334287, -6.2421069), (53.3329104, -6.2425718), (53.3331657, -6.2433032), (53.3340315, -6.245187), (53.3343427, -6.2456126), (53.3322163, -6.2529015), (53.3322648, -6.2529551), (53.3324959, -6.2532187), (53.3325867, -6.2533119), (53.3326696, -6.2534011), (53.3332286, -6.2540031), (53.3332472, -6.2540232), (53.3344008, -6.2552554), (53.3347548, -6.2556282), (53.33583, -6.2567398), (53.3361445, -6.2572592), (53.3364326, -6.2581718), (53.3367512, -6.2594042), (53.3372678, -6.2615362), (53.3375411, -6.262689), (53.3375449, -6.262927), (53.3375463, -6.2637016), (53.3375733, -6.2654207), (53.3375973, -6.2657876), (53.3375818, -6.26613), (53.3375782, -6.266356), (53.3376141, -6.2669677), (53.3377323, -6.2682952), (53.3381497, -6.2692976), (53.3382767, -6.270192), (53.3383563, -6.2707238), (53.3384637, -6.2711784), (53.3388532, -6.2725064), (53.3389329, -6.2726872), (53.3390764, -6.273221), (53.3391353, -6.2734704), (53.3391668, -6.2736289), (53.3393808, -6.2747375), (53.3388105, -6.2778357), (53.3386562, -6.2794837), (53.3383438, -6.2806387), (53.3382217, -6.2815818), (53.3381928, -6.2818203), (53.3381902, -6.281844), (53.3379718, -6.2835024), (53.3377887, -6.2844901), (53.3377329, -6.2847165), (53.3377141, -6.284793), (53.3376004, -6.2852549), (53.3372715, -6.2862494), (53.3371836, -6.2864627), (53.3368534, -6.2872518), (53.3366141, -6.2877885), (53.3365192, -6.2879694), (53.336051, -6.2888319), (53.3356751, -6.2892963), (53.3356687, -6.2893036), (53.3354692, -6.2894668), (53.3361199, -6.2910397), (53.3362154, -6.2908338), (53.3360744, -6.2906013)]"
